,year,abbr,team_name,home_base,win,loss,lat,lon
0,2014,LAA,Angels,Los Angeles,42,29,34.05,-118.24
1,2014,HOU,Astros,Houston,34,43,29.76,-95.37
2,2014,OAK,Athletics,Oakland,38,33,37.8,-122.27
3,2014,TOR,BlueJays,Toronto,39,35,43.65,-79.39
4,2014,ATL,Braves,Atlanta,38,39,33.75,-84.39
5,2014,MIL,Brewers,Milwaukee,36,39,43.03,-87.92
6,2014,STL,Cardinals,St. Louis,43,30,38.63,-90.2
7,2014,CHC,Cubs,Chicago,33,40,41.88,-87.62
8,2014,ARI,Diamondbacks,Arizona,26,48,-28.39,-49.38
9,2014,LAD,Dodgers,Los Angeles,39,36,34.05,-118.24
10,2014,SF,Giants,San Francisco,40,36,37.78,-122.42
11,2014,CLE,Indians,Cleveland,37,33,41.51,-81.69
12,2014,SEA,Mariners,Seattle,39,40,47.6,-122.33
13,2014,MIA,Marlins,Florida,31,39,21.53,-78.23
14,2014,NYM,Mets,New York,33,41,40.73,-73.99
15,2014,WSN,Nationals,Washington,42,30,38.9,-77.04
16,2014,BAL,Orioles,Baltimore,40,31,39.29,-76.61
17,2014,SD,Padres,San Diego,37,33,32.72,-117.16
18,2014,PHI,Phillies,Philadelphia,29,44,39.95,-75.16
19,2014,PIT,Pirates,Pittsburgh,41,30,40.44,-79.99
20,2014,TEX,Rangers,Texas,26,48,-28.86,151.17
21,2014,TB,Rays,Tampa,30,45,27.95,-82.46
22,2014,CIN,Reds,Cincinnati,39,37,39.1,-84.51
23,2014,BOS,RedSox,Boston,25,47,42.36,-71.06
24,2014,COL,Rockies,Colorado,36,36,-22.84,-51.97
25,2014,KCR,Royals,Kansas City,38,39,39.08,-94.56
26,2014,DET,Tigers,Detroit,39,36,42.35,-83.06
27,2014,MIN,Twins,Minnesota,28,46,40.66,-122.49
28,2014,CHW,WhiteSox,Chicago,31,41,41.88,-87.62
29,2014,NYY,Yankees,New York,34,38,40.73,-73.99
